expressionID,operandID,arg1,arg2,expressionValue,description,expressionName,expressionTypeID,expressionGroupID,expressionAttributeID
91,58,83,69,None,,((CurrentShip->hiSlots).(ModSub)).RemoveItemModifier (hiSlots),None,None,None
92,58,82,73,None,,((CurrentShip->medSlots).(ModSub)).RemoveItemModifier (medSlots),None,None,None
93,58,65,61,None,,((CurrentShip->lowSlots).(ModSub)).RemoveItemModifier (lowSlots),None,None,None
94,17,93,92,None,,((CurrentShip->lowSlots).(ModSub)).RemoveItemModifier (lowSlots));     (((CurrentShip->medSlots).(ModSub)).RemoveItemModifier (medSlots),None,None,None
98,18,2721,46,None,,CurrentTarget->shieldCharge-=self.capacitorNeed,None,None,None
102,22,None,None,None,,maxVelocity,None,None,37
103,12,4,102,None,,CurrentShip->maxVelocity,None,None,None
104,31,10,103,None,,(CurrentShip->maxVelocity).(PostMul),None,None,None
105,22,None,None,None,,speedFactor,None,None,20
106,6,104,105,None,,((CurrentShip->maxVelocity).(PostMul)).AddItemModifier (speedFactor),None,None,None
107,58,104,105,None,,((CurrentShip->maxVelocity).(PostMul)).RemoveItemModifier (speedFactor),None,None,None
109,22,None,None,None,,capacity,None,None,38
110,12,4,109,None,,CurrentShip->capacity,None,None,None
111,31,7,110,None,,(CurrentShip->capacity).(ModAdd),None,None,None
112,6,111,109,None,,((CurrentShip->capacity).(ModAdd)).AddItemModifier (capacity),None,None,None
114,44,89,None,None,,LaunchMissile(),None,None,None
115,13,656,None,None,attack given target with given modules damageHP,Attack,None,None,None
116,22,None,None,shieldDamage,,shieldDamage,None,None,None
117,12,4,116,None,,CurrentShip->shieldDamage,None,None,None
118,18,117,47,None,,CurrentShip->shieldDamage-=self.charge,None,None,None
119,18,50,47,None,,CurrentSelf->charge-=self.charge,None,None,None
120,17,118,119,None,,CurrentShip->shieldDamage-=self.charge);     (CurrentSelf->charge-=self.charge,None,None,None
121,10,120,59,None,,(CurrentShip->shieldDamage-=self.charge);     (CurrentSelf->charge-=self.charge) AND (Int(0)),None,None,None
122,12,4,61,None,,CurrentShip->lowSlots,None,None,None
123,12,4,69,None,,CurrentShip->hiSlots,None,None,None
124,12,4,73,None,,CurrentShip->medSlots,None,None,None
128,35,4,73,None,,CurrentShip.medSlots(),None,None,None
129,35,4,69,None,,CurrentShip.hiSlots(),None,None,None
130,27,None,None,2,,Int(2),None,None,None
131,27,None,None,1,,Int(1),None,None,None
133,31,8,124,None,,(CurrentShip->medSlots).(ModSub),None,None,None
134,31,8,123,None,,(CurrentShip->hiSlots).(ModSub),None,None,None
135,31,8,122,None,,(CurrentShip->lowSlots).(ModSub),None,None,None
152,58,111,109,None,,((CurrentShip->capacity).(ModAdd)).RemoveItemModifier (capacity),None,None,None
155,13,656,None,None,,Attack,None,None,None
158,35,1,25,None,,CurrentSelf.power(),None,None,None
159,35,4,36,None,,CurrentShip.powerLoad(),None,None,None
160,1,159,158,None,,(CurrentShip.powerLoad())+(CurrentSelf.power()),None,None,None
161,39,14,160,None,,CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power()),None,None,None
162,41,161,59,None,,"If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (Int(0))",None,None,None
163,41,161,39,None,,"If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power))",None,None,None
164,22,None,None,None,,cpuLoad,None,None,49
165,22,None,None,None,,cpuOutput,None,None,48
166,22,None,None,None,,cpu,None,None,50
167,35,1,166,None,,CurrentSelf.cpu(),None,None,None
168,35,4,164,None,,CurrentShip.cpuLoad(),None,None,None
169,35,4,165,None,,CurrentShip.cpuOutput(),None,None,None
170,1,168,167,None,,(CurrentShip.cpuLoad())+(CurrentSelf.cpu()),None,None,None
171,12,4,164,None,,CurrentShip->cpuLoad,None,None,None
172,31,7,171,None,,(CurrentShip->cpuLoad).(ModAdd),None,None,None
173,6,172,166,None,,((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu),None,None,None
174,39,169,170,None,,CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu()),None,None,None
175,41,174,173,None,,"If(CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu())), Then (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu))",None,None,None
176,58,172,166,None,,((CurrentShip->cpuLoad).(ModAdd)).RemoveItemModifier (cpu),None,None,None
177,10,174,161,None,,(CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu())) AND (CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())),None,None,None
178,17,173,39,None,,((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power),None,None,None
179,41,177,178,None,,"If((CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu())) AND (CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power()))), Then (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power))",None,None,None
180,17,176,45,None,,((CurrentShip->cpuLoad).(ModAdd)).RemoveItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).RemoveItemModifier (power),None,None,None
182,22,None,None,None,,shieldBonus,None,None,68
183,42,2722,182,None,,CurrentShip->shieldCharge+=self.shieldBonus,None,None,None
184,50,None,None,None,,Mine,None,None,None
185,42,2721,182,None,Bolster the target objects shield level.,CurrentTarget->shieldCharge+=self.shieldBonus,None,None,None
186,22,None,None,None,,armorBonus,None,None,65
189,22,None,None,None,Maximum hp of object,hp,None,None,9
190,12,4,2710,None,Maximum armor strength of ship,CurrentShip->armorHP,None,None,None
191,31,7,207,None,Increase maximum armor strength of ship,(CurrentShip->hp).(ModAdd),None,None,None
192,6,2723,186,None,,((CurrentShip->armorHP).(ModAdd)).AddItemModifier (armorBonus),None,None,None
194,58,2723,186,None,,((CurrentShip->armorHP).(ModAdd)).RemoveItemModifier (armorBonus),None,None,None
197,31,7,2720,None,Increase the maximum shield strength.,(CurrentShip->shieldCapacity).(ModAdd),None,None,None
198,22,None,None,None,,capacityBonus,None,None,72
199,6,197,198,None,,((CurrentShip->shieldCapacity).(ModAdd)).AddItemModifier (capacityBonus),None,None,None
201,58,197,198,None,,((CurrentShip->shieldCapacity).(ModAdd)).RemoveItemModifier (capacityBonus),None,None,None
202,31,7,103,None,,(CurrentShip->maxVelocity).(ModAdd),None,None,None
204,22,None,None,None,,speedBonus,None,None,80
205,6,202,204,None,,((CurrentShip->maxVelocity).(ModAdd)).AddItemModifier (speedBonus),None,None,None
206,58,202,204,None,,((CurrentShip->maxVelocity).(ModAdd)).RemoveItemModifier (speedBonus),None,None,None
207,12,4,189,None,,CurrentShip->hp,None,None,None
208,31,5,207,None,,(CurrentShip->hp).(PreMul),None,None,None
210,22,None,None,None,,hpFactor,None,None,81
211,8,208,210,None,,((CurrentShip->hp).(PreMul)).AddLocationModifier (hpFactor),None,None,None
212,60,208,210,None,,((CurrentShip->hp).(PreMul)).RemoveLocationModifier (hpFactor),None,None,None
213,22,None,None,None,,structureBonus,None,None,82
214,26,None,None,Structure,,Structure,None,None,None
215,37,4,214,None,,CurrentShip.Structure,None,None,None
216,12,215,189,None,,CurrentShip.Structure->hp,None,None,None
217,31,7,207,None,,(CurrentShip->hp).(ModAdd),None,None,None
219,6,217,213,None,,((CurrentShip->hp).(ModAdd)).AddItemModifier (structureBonus),None,None,None
220,58,217,213,None,,((CurrentShip->hp).(ModAdd)).RemoveItemModifier (structureBonus),None,None,None
224,31,7,2715,None,,(CurrentShip->capacitorCapacity).(ModAdd),None,None,None
226,22,None,None,None,,capacitorBonus,None,None,67
227,6,2717,226,None,,((CurrentShip->capacitorCapacity).(ModAdd)).AddItemModifier (capacitorBonus),None,None,None
228,58,2717,226,None,,((CurrentShip->capacitorCapacity).(ModAdd)).RemoveItemModifier (capacitorBonus),None,None,None
229,22,None,None,None,,damage,None,None,3
230,12,4,229,None,,CurrentShip->damage,None,None,None
231,22,None,None,None,,structureDamageAmount,None,None,83
233,18,230,231,None,Repair structural damage.,CurrentShip->damage-=self.structureDamageAmount,None,None,None
234,22,None,None,None,,armorDamageAmount,None,None,84
235,12,4,2707,None,,CurrentShip->armorDamage,None,None,None
236,18,235,234,None,,CurrentShip->armorDamage-=self.armorDamageAmount,None,None,None
244,12,26,102,None,,CurrentTarget->maxVelocity,None,None,None
245,31,10,244,None,,(CurrentTarget->maxVelocity).(PostMul),None,None,None
246,6,245,105,None,,((CurrentTarget->maxVelocity).(PostMul)).AddItemModifier (speedFactor),None,None,None
247,58,245,105,None,,((CurrentTarget->maxVelocity).(PostMul)).RemoveItemModifier (speedFactor),None,None,None
248,22,None,None,None,,shieldDrainAmount,None,None,88
249,18,2721,248,None,,CurrentTarget->shieldCharge-=self.shieldDrainAmount,None,None,None
250,22,None,None,None,,powerTransferAmount,None,None,90
257,12,26,47,None,,CurrentTarget->charge,None,None,None
258,42,2732,250,None,,CurrentTarget->charge+=self.powerTransferAmount,None,None,None
259,18,257,250,None,,CurrentTarget->charge-=self.powerTransferAmount,None,None,None
260,12,4,47,None,,CurrentShip->charge,None,None,None
261,42,260,250,None,,CurrentShip->charge+=self.powerTransferAmount,None,None,None
262,17,259,261,None,,CurrentTarget->charge-=self.powerTransferAmount);     (CurrentShip->charge+=self.powerTransferAmount,None,None,None
263,35,26,47,None,,CurrentTarget.charge(),None,None,None
264,35,1,250,None,,CurrentSelf.powerTransferAmount(),None,None,None
265,38,263,264,None,,CurrentTarget.charge()> CurrentSelf.powerTransferAmount(),None,None,None
266,41,265,262,None,,"If(CurrentTarget.charge()> CurrentSelf.powerTransferAmount()), Then (CurrentTarget->charge-=self.powerTransferAmount);     (CurrentShip->charge+=self.powerTransferAmount)",None,None,None
267,43,260,263,None,,CurrentShip->charge+=CurrentTarget.charge(),None,None,None
268,20,257,263,None,,CurrentTarget->charge-=CurrentTarget.charge(),None,None,None
269,17,267,268,None,,CurrentShip->charge+=CurrentTarget.charge());     (CurrentTarget->charge-=CurrentTarget.charge(),None,None,None
270,52,266,269,None,,"If(CurrentTarget.charge()> CurrentSelf.powerTransferAmount()), Then (CurrentTarget->charge-=self.powerTransferAmount);     (CurrentShip->charge+=self.powerTransferAmount) OR CurrentShip->charge+=CurrentTarget.charge());     (CurrentTarget->charge-=CurrentTarget.charge()",None,None,None
272,22,None,None,None,,kineticDampeningFieldStrength,None,None,92
273,22,None,None,None,,kineticDampeningFieldBonus,None,None,93
279,22,None,None,None,,energyReflectionStrength,None,None,95
280,22,None,None,None,,energyReflectionBonus,None,None,96
281,12,4,279,None,,CurrentShip->energyReflectionStrength,None,None,None
282,31,7,281,None,,(CurrentShip->energyReflectionStrength).(ModAdd),None,None,None
283,6,282,280,None,,((CurrentShip->energyReflectionStrength).(ModAdd)).AddItemModifier (energyReflectionBonus),None,None,None
284,58,282,280,None,,((CurrentShip->energyReflectionStrength).(ModAdd)).RemoveItemModifier (energyReflectionBonus),None,None,None
285,22,None,None,None,,energyDestabilizationAmount,None,None,97
286,18,257,285,None,,CurrentTarget->charge-=self.energyDestabilizationAmount,None,None,None
288,32,None,None,None,,EMPWave,None,None,None
290,22,None,None,None,,warpScrambleStrength,None,None,105
291,22,None,None,None,,warpScrambleStatus,None,None,104
292,12,26,291,None,,CurrentTarget->warpScrambleStatus,None,None,None
293,31,7,292,None,,(CurrentTarget->warpScrambleStatus).(ModAdd),None,None,None
294,6,293,290,None,,((CurrentTarget->warpScrambleStatus).(ModAdd)).AddItemModifier (warpScrambleStrength),None,None,None
295,58,293,290,None,,((CurrentTarget->warpScrambleStatus).(ModAdd)).RemoveItemModifier (warpScrambleStrength),None,None,None
296,22,None,None,None,,launcherSlotsLeft,None,None,101
297,22,None,None,None,,droneBaySlotsLeft,None,None,106
298,22,None,None,None,,turretSlotsLeft,None,None,102
299,12,4,296,None,,CurrentShip->launcherSlotsLeft,None,None,None
300,12,4,297,None,,CurrentShip->droneBaySlotsLeft,None,None,None
301,12,4,298,None,,CurrentShip->turretSlotsLeft,None,None,None
302,31,8,301,None,,(CurrentShip->turretSlotsLeft).(ModSub),None,None,None
303,22,None,None,None,,slots,None,None,47
304,6,302,303,None,,((CurrentShip->turretSlotsLeft).(ModSub)).AddItemModifier (slots),None,None,None
305,58,302,303,None,,((CurrentShip->turretSlotsLeft).(ModSub)).RemoveItemModifier (slots),None,None,None
306,35,4,298,None,,CurrentShip.turretSlotsLeft(),None,None,None
307,38,306,59,None,,CurrentShip.turretSlotsLeft()> Int(0),None,None,None
308,41,307,304,None,,"If(CurrentShip.turretSlotsLeft()> Int(0)), Then (((CurrentShip->turretSlotsLeft).(ModSub)).AddItemModifier (slots))",None,None,None
309,31,8,300,None,,(CurrentShip->droneBaySlotsLeft).(ModSub),None,None,None
310,6,309,303,None,,((CurrentShip->droneBaySlotsLeft).(ModSub)).AddItemModifier (slots),None,None,None
311,58,309,303,None,,((CurrentShip->droneBaySlotsLeft).(ModSub)).RemoveItemModifier (slots),None,None,None
312,35,4,297,None,,CurrentShip.droneBaySlotsLeft(),None,None,None
313,35,4,296,None,,CurrentShip.launcherSlotsLeft(),None,None,None
314,38,312,59,None,,CurrentShip.droneBaySlotsLeft()> Int(0),None,None,None
315,38,313,59,None,,CurrentShip.launcherSlotsLeft()> Int(0),None,None,None
316,41,314,310,None,,"If(CurrentShip.droneBaySlotsLeft()> Int(0)), Then (((CurrentShip->droneBaySlotsLeft).(ModSub)).AddItemModifier (slots))",None,None,None
317,31,8,299,None,,(CurrentShip->launcherSlotsLeft).(ModSub),None,None,None
318,6,317,303,None,,((CurrentShip->launcherSlotsLeft).(ModSub)).AddItemModifier (slots),None,None,None
319,58,317,303,None,,((CurrentShip->launcherSlotsLeft).(ModSub)).RemoveItemModifier (slots),None,None,None
320,41,315,318,None,,"If(CurrentShip.launcherSlotsLeft()> Int(0)), Then (((CurrentShip->launcherSlotsLeft).(ModSub)).AddItemModifier (slots))",None,None,None
371,28,None,None,NotEnoughLauncherSlots,,NotEnoughLauncherSlots,None,None,None
372,73,371,None,None,,UserError(NotEnoughLauncherSlots),None,None,None
373,52,320,372,None,,"If(CurrentShip.launcherSlotsLeft()> Int(0)), Then (((CurrentShip->launcherSlotsLeft).(ModSub)).AddItemModifier (slots)) OR UserError(NotEnoughLauncherSlots)",None,None,None
374,28,None,None,NotEnoughTurretSlots,,NotEnoughTurretSlots,None,None,None
375,28,None,None,NotEnoughDroneBaySlots,,NotEnoughDroneBaySlots,None,None,None
376,52,316,377,None,,"If(CurrentShip.droneBaySlotsLeft()> Int(0)), Then (((CurrentShip->droneBaySlotsLeft).(ModSub)).AddItemModifier (slots)) OR UserError(NotEnoughDroneBaySlots)",None,None,None
377,73,375,None,None,,UserError(NotEnoughDroneBaySlots),None,None,None
378,73,374,None,None,,UserError(NotEnoughTurretSlots),None,None,None
379,52,308,378,None,,"If(CurrentShip.turretSlotsLeft()> Int(0)), Then (((CurrentShip->turretSlotsLeft).(ModSub)).AddItemModifier (slots)) OR UserError(NotEnoughTurretSlots)",None,None,None
380,28,None,None,NotEnoughCpu,,NotEnoughCpu,None,None,None
381,28,None,None,NotEnoughPower,,NotEnoughPower,None,None,None
382,73,380,None,None,,UserError(NotEnoughCpu),None,None,None
383,73,381,None,None,,UserError(NotEnoughPower),None,None,None
384,41,161,399,None,,"If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (CurrentSelf->isOnline := Int(1));     (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power))",None,None,None
385,52,384,383,None,,"If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (CurrentSelf->isOnline := Int(1));     (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power)) OR UserError(NotEnoughPower)",None,None,None
386,41,174,385,None,,"If(CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu())), Then (If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (CurrentSelf->isOnline := Int(1));     (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power)) OR UserError(NotEnoughPower))",None,None,None
387,52,386,382,None,,"If(CurrentShip.cpuOutput()>=(CurrentShip.cpuLoad())+(CurrentSelf.cpu())), Then (If(CurrentShip.powerOutput()>=(CurrentShip.powerLoad())+(CurrentSelf.power())), Then (CurrentSelf->isOnline := Int(1));     (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power)) OR UserError(NotEnoughPower)) OR UserError(NotEnoughCpu)",None,None,None
388,22,None,None,None,,powerOutputBonus,None,None,121
389,12,4,12,None,,CurrentShip->powerOutput,None,None,None
390,31,7,389,None,,(CurrentShip->powerOutput).(ModAdd),None,None,None
391,6,390,388,None,,((CurrentShip->powerOutput).(ModAdd)).AddItemModifier (powerOutputBonus),None,None,None
392,58,390,388,None,,((CurrentShip->powerOutput).(ModAdd)).RemoveItemModifier (powerOutputBonus),None,None,None
393,22,None,None,None,,isOnline,None,None,2
394,12,1,393,None,,CurrentSelf->isOnline,None,None,None
397,65,394,131,None,,CurrentSelf->isOnline := Int(1),None,None,None
398,65,394,59,None,,CurrentSelf->isOnline := Int(0),None,None,None
399,17,397,178,None,,CurrentSelf->isOnline := Int(1));     (((CurrentShip->cpuLoad).(ModAdd)).AddItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power),None,None,None
400,17,180,398,None,,((CurrentShip->cpuLoad).(ModAdd)).RemoveItemModifier (cpu));     (((CurrentShip->powerLoad).(ModAdd)).RemoveItemModifier (power));     (CurrentSelf->isOnline := Int(0),None,None,None
402,66,None,None,None,,ShipScan(),None,None,None
403,14,None,None,None,,CargoScan,None,None,None
404,53,None,None,None,,PowerBoost,None,None,None
405,22,None,None,None,,explosiveDamageResonance,None,None,111
406,22,None,None,None,,emDamageResonance,None,None,113
407,22,None,None,None,,kineticDamageResonance,None,None,109
408,22,None,None,None,,thermalDamageResonance,None,None,110
409,12,4,2702,None,,CurrentShip->shieldExplosiveDamageResonance,None,None,None
410,12,4,2701,None,,CurrentShip->shieldEmDamageResonance,None,None,None
411,12,4,2698,None,,CurrentShip->shieldKineticDamageResonance,None,None,None
412,12,4,2697,None,,CurrentShip->shieldThermalDamageResonance,None,None,None
413,31,10,409,None,,(CurrentShip->shieldExplosiveDamageResonance).(PostMul),None,None,None
414,31,10,410,None,,(CurrentShip->shieldEmDamageResonance).(PostMul),None,None,None
415,31,10,411,None,,(CurrentShip->shieldKineticDamageResonance).(PostMul),None,None,None
416,31,10,412,None,,(CurrentShip->shieldThermalDamageResonance).(PostMul),None,None,None
417,22,None,None,None,,thermalDamageResonanceMultiplier,None,None,130
418,22,None,None,None,,kineticDamageResonanceMultiplier,None,None,131
419,22,None,None,None,,emDamageResonanceMultiplier,None,None,133
420,22,None,None,None,,explosiveDamageResonanceMultiplier,None,None,132
421,6,416,417,None,,((CurrentShip->shieldThermalDamageResonance).(PostMul)).AddItemModifier (thermalDamageResonanceMultiplier),None,None,None
422,6,415,418,None,,((CurrentShip->shieldKineticDamageResonance).(PostMul)).AddItemModifier (kineticDamageResonanceMultiplier),None,None,None
423,6,414,419,None,,((CurrentShip->shieldEmDamageResonance).(PostMul)).AddItemModifier (emDamageResonanceMultiplier),None,None,None
424,6,413,420,None,,((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).AddItemModifier (explosiveDamageResonanceMultiplier),None,None,None
425,58,416,417,None,,((CurrentShip->shieldThermalDamageResonance).(PostMul)).RemoveItemModifier (thermalDamageResonanceMultiplier),None,None,None
426,58,415,418,None,,((CurrentShip->shieldKineticDamageResonance).(PostMul)).RemoveItemModifier (kineticDamageResonanceMultiplier),None,None,None
427,58,414,419,None,,((CurrentShip->shieldEmDamageResonance).(PostMul)).RemoveItemModifier (emDamageResonanceMultiplier),None,None,None
428,58,413,420,None,,((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).RemoveItemModifier (explosiveDamageResonanceMultiplier),None,None,None
429,17,421,422,None,,((CurrentShip->shieldThermalDamageResonance).(PostMul)).AddItemModifier (thermalDamageResonanceMultiplier));     (((CurrentShip->shieldKineticDamageResonance).(PostMul)).AddItemModifier (kineticDamageResonanceMultiplier),None,None,None
430,17,423,424,None,,((CurrentShip->shieldEmDamageResonance).(PostMul)).AddItemModifier (emDamageResonanceMultiplier));     (((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).AddItemModifier (explosiveDamageResonanceMultiplier),None,None,None
431,17,429,430,None,,((CurrentShip->shieldThermalDamageResonance).(PostMul)).AddItemModifier (thermalDamageResonanceMultiplier));     (((CurrentShip->shieldKineticDamageResonance).(PostMul)).AddItemModifier (kineticDamageResonanceMultiplier));     (((CurrentShip->shieldEmDamageResonance).(PostMul)).AddItemModifier (emDamageResonanceMultiplier));     (((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).AddItemModifier (explosiveDamageResonanceMultiplier),None,None,None
432,17,426,425,None,,((CurrentShip->shieldKineticDamageResonance).(PostMul)).RemoveItemModifier (kineticDamageResonanceMultiplier));     (((CurrentShip->shieldThermalDamageResonance).(PostMul)).RemoveItemModifier (thermalDamageResonanceMultiplier),None,None,None
433,17,427,428,None,,((CurrentShip->shieldEmDamageResonance).(PostMul)).RemoveItemModifier (emDamageResonanceMultiplier));     (((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).RemoveItemModifier (explosiveDamageResonanceMultiplier),None,None,None
434,17,432,433,None,,((CurrentShip->shieldKineticDamageResonance).(PostMul)).RemoveItemModifier (kineticDamageResonanceMultiplier));     (((CurrentShip->shieldThermalDamageResonance).(PostMul)).RemoveItemModifier (thermalDamageResonanceMultiplier));     (((CurrentShip->shieldEmDamageResonance).(PostMul)).RemoveItemModifier (emDamageResonanceMultiplier));     (((CurrentShip->shieldExplosiveDamageResonance).(PostMul)).RemoveItemModifier (explosiveDamageResonanceMultiplier),None,None,None
435,22,None,None,None,,rechargeRate,None,None,55
437,22,None,None,None,,shieldRechargeRateMultiplier,None,None,134
438,31,10,2734,None,,(CurrentShip->shieldRechargeRate).(PostMul),None,None,None
439,6,438,437,None,,((CurrentShip->shieldRechargeRate).(PostMul)).AddItemModifier (shieldRechargeRateMultiplier),None,None,None
440,58,438,437,None,,((CurrentShip->shieldRechargeRate).(PostMul)).RemoveItemModifier (shieldRechargeRateMultiplier),None,None,None
441,12,4,435,None,,CurrentShip->rechargeRate,None,None,None
442,31,10,441,None,,(CurrentShip->rechargeRate).(PostMul),None,None,None
443,6,442,474,None,,((CurrentShip->rechargeRate).(PostMul)).AddItemModifier (capacitorRechargeRateMultiplier),None,None,None
444,58,442,474,None,,((CurrentShip->rechargeRate).(PostMul)).RemoveItemModifier (capacitorRechargeRateMultiplier),None,None,None
445,22,None,None,None,,emDamageBonus,None,None,138
446,22,None,None,None,,explosiveDamageBonus,None,None,139
447,22,None,None,None,,thermalDamageBonus,None,None,141
448,22,None,None,None,,kineticDamageBonus,None,None,140
449,12,26,445,None,,CurrentTarget->emDamageBonus,None,None,None
